team,week,season,ol_continuity_full,ol_continuity_count,ol_position_shifts,ol_snaps_together_last3,center_missing,left_tackle_missing
ATL,4,2022,0,2,2,0.3,0,0
BAL,4,2022,1,5,0,0.8,0,0
BUF,4,2022,0,3,0,0.3,0,0
CAR,4,2022,1,5,0,0.8,0,0
CHI,4,2022,0,3,1,0.3,0,0
CIN,4,2022,1,5,0,0.8,0,0
CLE,4,2022,0,3,2,0.3,0,0
DAL,4,2022,0,4,0,0.3,0,0
DEN,4,2022,0,3,2,0.3,0,0
DET,4,2022,0,4,0,0.3,0,0
GB,4,2022,1,5,0,0.8,0,0
HOU,4,2022,1,5,0,0.8,0,0
IND,4,2022,0,4,0,0.3,0,0
JAX,4,2022,1,5,0,0.8,0,0
KC,4,2022,0,3,2,0.3,0,0
LA,4,2022,0,1,2,0.3,1,0
LAC,4,2022,0,1,2,0.3,0,0
LV,4,2022,0,2,2,0.3,0,0
MIA,4,2022,0,0,5,0.3,1,0
MIN,4,2022,1,5,0,0.8,0,0
NE,4,2022,0,3,2,0.3,0,0
NO,4,2022,0,2,3,0.3,0,0
NYG,4,2022,1,5,0,0.8,0,0
NYJ,4,2022,0,2,1,0.3,0,0
PHI,4,2022,0,1,3,0.3,0,0
PIT,4,2022,1,5,0,0.8,0,0
SEA,4,2022,0,3,2,0.3,0,0
SF,4,2022,0,2,2,0.3,0,0
TB,4,2022,0,1,3,0.3,1,0
TEN,4,2022,0,2,2,0.3,0,0
WAS,4,2022,0,2,1,0.3,0,0
ARI,5,2022,0,2,1,0.3,1,0
ATL,5,2022,1,5,0,0.8,0,0
BAL,5,2022,0,4,0,0.3,0,0
BUF,5,2022,0,3,2,0.3,0,0
CAR,5,2022,0,3,2,0.3,0,0
CHI,5,2022,0,3,2,0.3,0,0
CIN,5,2022,0,3,2,0.3,0,0
CLE,5,2022,0,3,2,0.3,0,0
DAL,5,2022,1,5,0,0.8,0,0
DEN,5,2022,0,3,2,0.3,0,0
DET,5,2022,0,1,3,0.3,0,0
GB,5,2022,0,4,0,0.3,0,0
HOU,5,2022,1,5,0,0.8,0,0
IND,5,2022,0,1,2,0.3,1,0
JAX,5,2022,0,3,1,0.3,0,0
KC,5,2022,0,2,2,0.3,0,0
LA,5,2022,0,1,3,0.3,1,0
LAC,5,2022,0,3,2,0.3,0,0
LV,5,2022,0,3,1,0.3,0,0
MIA,5,2022,0,4,0,0.3,1,0
MIN,5,2022,1,5,0,0.8,0,0
NE,5,2022,0,3,2,0.3,0,0
NO,5,2022,0,3,1,0.3,0,0
NYG,5,2022,0,3,1,0.3,0,0
NYJ,5,2022,0,2,2,0.3,0,0
PHI,5,2022,0,1,3,0.3,0,0
PIT,5,2022,1,5,0,0.8,0,0
SEA,5,2022,0,3,2,0.3,0,0
SF,5,2022,0,2,2,0.3,0,0
TB,5,2022,0,2,3,0.3,0,0
TEN,5,2022,0,1,3,0.3,0,0
WAS,5,2022,0,4,0,0.3,0,0
ARI,6,2022,0,1,3,0.3,0,0
ATL,6,2022,1,5,0,0.8,0,0
BAL,6,2022,0,4,0,0.3,0,0
BUF,6,2022,0,2,2,0.3,0,0
CAR,6,2022,1,5,0,0.8,0,0
CHI,6,2022,0,3,2,0.3,0,0
CIN,6,2022,0,3,2,0.3,0,0
CLE,6,2022,0,1,3,0.3,0,0
DAL,6,2022,0,3,2,0.3,0,0
DEN,6,2022,0,3,0,0.3,0,0
GB,6,2022,0,3,1,0.3,0,0
IND,6,2022,0,1,2,0.3,0,0
JAX,6,2022,0,3,2,0.3,0,0
KC,6,2022,0,3,1,0.3,0,0
LA,6,2022,0,1,2,0.3,1,0
LAC,6,2022,0,4,0,0.3,0,0
MIA,6,2022,1,5,0,0.8,1,0
MIN,6,2022,0,3,2,0.3,0,0
NE,6,2022,0,1,3,0.3,0,0
NO,6,2022,0,3,2,0.3,0,0
NYG,6,2022,0,1,4,0.3,0,0
NYJ,6,2022,0,2,3,0.3,0,0
PHI,6,2022,0,3,0,0.3,0,0
PIT,6,2022,0,3,2,0.3,0,0
SEA,6,2022,0,1,3,0.3,0,0
SF,6,2022,1,5,0,0.8,0,0
TB,6,2022,1,5,0,0.8,0,0
WAS,6,2022,0,2,2,0.3,0,0
ARI,7,2022,0,3,0,0.3,0,0
ATL,7,2022,0,3,2,0.3,0,0
BAL,7,2022,0,4,0,0.3,0,0
CAR,7,2022,0,1,3,0.3,0,0
CHI,7,2022,0,4,0,0.3,0,0
CIN,7,2022,1,5,0,0.8,0,0
CLE,7,2022,0,3,2,0.3,0,0
DAL,7,2022,0,3,2,0.3,0,0
DEN,7,2022,0,1,4,0.3,0,0
DET,7,2022,0,3,0,0.3,0,0
GB,7,2022,0,3,0,0.3,0,0
HOU,7,2022,1,5,0,0.8,0,0
IND,7,2022,0,3,2,0.3,0,0
JAX,7,2022,1,5,0,0.8,0,0
KC,7,2022,0,2,3,0.3,0,0
LAC,7,2022,0,4,0,0.3,0,0
LV,7,2022,0,3,1,0.3,0,0
MIA,7,2022,0,2,2,0.3,1,0
NE,7,2022,0,3,2,0.3,0,0
NO,7,2022,0,2,2,0.3,0,0
NYG,7,2022,0,1,2,0.3,0,0
NYJ,7,2022,0,3,1,0.3,0,0
PIT,7,2022,0,3,2,0.3,0,0
SEA,7,2022,0,3,2,0.3,0,0
SF,7,2022,0,3,1,0.3,0,0
TB,7,2022,1,5,0,0.8,0,0
TEN,7,2022,1,5,0,0.8,0,0
WAS,7,2022,0,3,2,0.3,0,0
ARI,8,2022,0,2,2,0.3,0,0
ATL,8,2022,0,3,2,0.3,0,0
BAL,8,2022,0,3,2,0.3,0,0
BUF,8,2022,0,2,2,0.3,0,0
CAR,8,2022,0,3,2,0.3,0,0
CHI,8,2022,0,3,1,0.3,0,0
CIN,8,2022,1,5,0,0.8,0,0
CLE,8,2022,1,5,0,0.8,0,0
DAL,8,2022,1,5,0,0.8,0,0
DEN,8,2022,0,2,1,0.3,1,0
DET,8,2022,1,5,0,0.8,0,0
GB,8,2022,0,4,0,0.3,0,0
HOU,8,2022,0,3,1,0.3,0,0
IND,8,2022,0,2,3,0.3,0,0
JAX,8,2022,1,5,0,0.8,0,0
LA,8,2022,0,0,4,0.3,0,0
LV,8,2022,0,4,0,0.3,0,0
MIA,8,2022,0,2,3,0.3,1,0
MIN,8,2022,1,5,0,0.8,0,0
NE,8,2022,0,2,2,0.3,0,0
NO,8,2022,0,2,2,0.3,0,0
NYG,8,2022,0,3,2,0.3,0,0
NYJ,8,2022,0,1,4,0.3,0,0
PHI,8,2022,0,3,2,0.3,0,0
PIT,8,2022,1,5,0,0.8,0,0
SEA,8,2022,0,1,3,0.3,1,0
SF,8,2022,1,5,0,0.8,0,0
TB,8,2022,0,4,0,0.3,0,0
TEN,8,2022,0,3,1,0.3,0,0
WAS,8,2022,0,2,2,0.3,0,0
ARI,9,2022,0,3,1,0.3,0,0
ATL,9,2022,0,2,2,0.3,0,0
BAL,9,2022,0,3,2,0.3,0,0
BUF,9,2022,1,5,0,0.8,0,0
CAR,9,2022,0,3,2,0.3,0,0
CHI,9,2022,0,2,2,0.3,0,0
CIN,9,2022,1,5,0,0.8,0,0
DET,9,2022,1,5,0,0.8,0,0
GB,9,2022,0,3,1,0.3,0,0
HOU,9,2022,0,3,1,0.3,0,0
IND,9,2022,0,2,1,0.3,0,0
JAX,9,2022,1,5,0,0.8,0,0
KC,9,2022,0,2,3,0.3,0,0
LA,9,2022,0,2,2,0.3,0,0
LAC,9,2022,1,5,0,0.8,0,0
LV,9,2022,1,5,0,0.8,0,0
MIA,9,2022,0,2,2,0.3,1,0
MIN,9,2022,0,3,2,0.3,0,0
NE,9,2022,0,3,0,0.3,0,0
NO,9,2022,0,2,2,0.3,1,0
NYJ,9,2022,1,5,0,0.8,0,0
PHI,9,2022,1,5,0,0.8,0,0
SEA,9,2022,0,3,0,0.3,0,0
TB,9,2022,1,5,0,0.8,0,0
TEN,9,2022,0,3,2,0.3,0,0
WAS,9,2022,0,1,4,0.3,0,0
ARI,10,2022,0,1,1,0.3,0,0
ATL,10,2022,1,5,0,0.8,0,0
BUF,10,2022,0,2,2,0.3,0,0
CAR,10,2022,1,5,0,0.8,0,0
CHI,10,2022,0,3,1,0.3,0,0
CLE,10,2022,0,1,4,0.3,0,0
DAL,10,2022,0,3,2,0.3,0,0
DEN,10,2022,0,4,0,0.3,1,0
DET,10,2022,1,5,0,0.8,0,0
GB,10,2022,0,2,2,0.3,0,0
HOU,10,2022,0,3,2,0.3,0,0
IND,10,2022,0,3,2,0.3,0,0
JAX,10,2022,1,5,0,0.8,0,0
KC,10,2022,0,2,2,0.3,0,0
LA,10,2022,0,2,1,0.3,0,0
LAC,10,2022,0,4,0,0.3,0,0
LV,10,2022,0,3,2,0.3,0,0
MIA,10,2022,1,5,0,0.8,1,0
MIN,10,2022,1,5,0,0.8,0,0
NO,10,2022,0,1,2,0.3,1,0
NYG,10,2022,1,5,0,0.8,0,0
PHI,10,2022,0,3,2,0.3,0,0
PIT,10,2022,1,5,0,0.8,0,0
SEA,10,2022,1,5,0,0.8,0,0
SF,10,2022,1,5,0,0.8,0,0
TB,10,2022,0,3,2,0.3,0,0
TEN,10,2022,0,3,2,0.3,0,0
WAS,10,2022,1,5,0,0.8,0,0
ARI,11,2022,1,5,0,0.8,0,0
ATL,11,2022,0,4,0,0.3,0,0
BAL,11,2022,0,1,4,0.3,0,0
BUF,11,2022,0,2,2,0.3,0,0
CAR,11,2022,1,5,0,0.8,0,0
CHI,11,2022,1,5,0,0.8,0,0
CIN,11,2022,1,5,0,0.8,0,0
CLE,11,2022,0,1,3,0.3,1,0
DAL,11,2022,1,5,0,0.8,0,0
DEN,11,2022,0,3,1,0.3,1,0
DET,11,2022,0,4,0,0.3,0,0
GB,11,2022,1,5,0,0.8,0,0
HOU,11,2022,0,1,4,0.3,0,0
IND,11,2022,0,1,4,0.3,0,0
KC,11,2022,0,2,2,0.3,0,0
LA,11,2022,0,0,2,0.3,0,0
LAC,11,2022,0,1,3,0.3,0,0
LV,11,2022,0,2,2,0.3,0,0
MIN,11,2022,0,4,0,0.3,0,0
NE,11,2022,0,1,3,0.3,0,0
NO,11,2022,0,0,3,0.3,1,0
NYG,11,2022,0,2,1,0.3,0,0
NYJ,11,2022,0,4,0,0.3,0,0
PHI,11,2022,0,3,2,0.3,0,0
PIT,11,2022,0,2,2,0.3,0,0
SF,11,2022,1,5,0,0.8,0,0
TEN,11,2022,0,2,2,0.3,1,0
WAS,11,2022,1,5,0,0.8,0,0
ARI,12,2022,0,3,0,0.3,0,0
ATL,12,2022,0,4,0,0.3,0,0
BAL,12,2022,0,4,0,0.3,0,0
BUF,12,2022,0,1,1,0.3,0,0
CAR,12,2022,1,5,0,0.8,0,0
CHI,12,2022,0,3,0,0.3,0,0
CIN,12,2022,1,5,0,0.8,0,0
CLE,12,2022,0,2,3,0.3,1,0
DAL,12,2022,0,1,4,0.3,0,0
DEN,12,2022,0,3,2,0.3,1,0
DET,12,2022,0,1,2,0.3,0,0
GB,12,2022,1,5,0,0.8,0,0
HOU,12,2022,1,5,0,0.8,0,0
IND,12,2022,0,1,4,0.3,0,0
JAX,12,2022,1,5,0,0.8,0,0
KC,12,2022,0,4,0,0.3,0,0
LA,12,2022,0,3,1,0.3,0,0
LAC,12,2022,0,1,3,0.3,0,0
LV,12,2022,0,2,2,0.3,0,0
MIA,12,2022,0,3,1,0.3,1,0
MIN,12,2022,0,3,2,0.3,0,0
NE,12,2022,0,1,4,0.3,0,0
NO,12,2022,0,0,3,0.3,1,0
NYG,12,2022,0,1,1,0.3,0,0
NYJ,12,2022,0,1,2,0.3,0,0
PHI,12,2022,0,3,2,0.3,0,0
PIT,12,2022,0,4,0,0.3,0,0
SEA,12,2022,0,3,2,0.3,0,0
SF,12,2022,1,5,0,0.8,0,0
TB,12,2022,0,1,4,0.3,0,0
TEN,12,2022,0,1,4,0.3,1,0
WAS,12,2022,0,2,2,0.3,0,0
ATL,13,2022,1,5,0,0.8,0,0
BAL,13,2022,1,5,0,0.8,0,0
BUF,13,2022,0,2,2,0.3,0,0
CHI,13,2022,0,4,0,0.3,0,0
CIN,13,2022,1,5,0,0.8,0,0
CLE,13,2022,0,1,4,0.3,1,0
DAL,13,2022,0,3,2,0.3,0,0
DEN,13,2022,0,3,2,0.3,1,0
DET,13,2022,0,2,1,0.3,0,0
GB,13,2022,0,4,0,0.3,0,0
HOU,13,2022,0,3,2,0.3,0,0
IND,13,2022,0,2,2,0.3,0,0
JAX,13,2022,1,5,0,0.8,0,0
KC,13,2022,0,2,3,0.3,0,0
LA,13,2022,0,2,2,0.3,0,0
LAC,13,2022,0,4,0,0.3,0,0
LV,13,2022,0,3,2,0.3,0,0
MIA,13,2022,0,3,1,0.3,1,0
MIN,13,2022,0,3,2,0.3,0,0
NE,13,2022,0,2,1,0.3,0,0
NO,13,2022,0,2,2,0.3,1,0
NYG,13,2022,0,2,2,0.3,0,0
NYJ,13,2022,0,4,0,0.3,0,0
PHI,13,2022,1,5,0,0.8,0,0
PIT,13,2022,0,3,2,0.3,0,0
SEA,13,2022,1,5,0,0.8,0,0
SF,13,2022,0,3,0,0.3,0,0
TB,13,2022,0,3,1,0.3,0,0
TEN,13,2022,0,0,4,0.3,0,0
WAS,13,2022,0,2,1,0.3,0,0
ARI,14,2022,0,3,1,0.3,0,0
BAL,14,2022,0,3,0,0.3,0,0
BUF,14,2022,0,1,1,0.3,0,0
CAR,14,2022,1,5,0,0.8,0,0
CIN,14,2022,1,5,0,0.8,0,0
CLE,14,2022,0,1,4,0.3,1,0
DAL,14,2022,0,3,2,0.3,0,0
DEN,14,2022,0,4,0,0.3,1,0
DET,14,2022,0,1,3,0.3,0,0
HOU,14,2022,1,5,0,0.8,0,0
JAX,14,2022,1,5,0,0.8,0,0
KC,14,2022,0,2,2,0.3,0,0
LA,14,2022,1,5,0,0.8,0,0
LAC,14,2022,0,2,2,0.3,0,0
LV,14,2022,0,2,2,0.3,0,0
MIA,14,2022,0,4,0,0.3,1,0
MIN,14,2022,0,2,2,0.3,1,0
NE,14,2022,0,3,2,0.3,0,0
NYG,14,2022,0,4,0,0.3,0,0
NYJ,14,2022,1,5,0,0.8,0,0
PHI,14,2022,0,3,2,0.3,0,0
PIT,14,2022,0,3,2,0.3,0,0
SEA,14,2022,0,4,0,0.3,0,0
SF,14,2022,0,3,0,0.3,0,0
TB,14,2022,1,5,0,0.8,0,0
TEN,14,2022,1,5,0,0.8,0,0
ARI,15,2022,0,4,0,0.3,0,0
ATL,15,2022,0,4,0,0.3,0,0
BAL,15,2022,0,4,0,0.3,0,0
BUF,15,2022,0,0,4,0.3,1,0
CAR,15,2022,0,3,2,0.3,0,0
CHI,15,2022,0,3,1,0.3,0,0
CIN,15,2022,1,5,0,0.8,0,0
CLE,15,2022,0,2,3,0.3,1,0
DAL,15,2022,0,4,0,0.3,0,0
DEN,15,2022,0,0,2,0.3,0,0
DET,15,2022,0,2,1,0.3,0,0
GB,15,2022,1,5,0,0.8,0,0
HOU,15,2022,0,4,0,0.3,0,0
IND,15,2022,0,4,0,0.3,0,0
JAX,15,2022,1,5,0,0.8,0,0
KC,15,2022,1,5,0,0.8,0,0
LA,15,2022,1,5,0,0.8,0,0
LAC,15,2022,0,4,0,0.3,0,0
LV,15,2022,0,1,2,0.3,0,0
MIA,15,2022,0,3,2,0.3,1,0
MIN,15,2022,0,4,0,0.3,1,0
NE,15,2022,0,3,2,0.3,0,0
NO,15,2022,0,2,2,0.3,0,0
NYG,15,2022,0,1,2,0.3,0,0
NYJ,15,2022,1,5,0,0.8,0,0
PHI,15,2022,1,5,0,0.8,0,0
PIT,15,2022,0,3,2,0.3,0,0
SEA,15,2022,0,4,0,0.3,0,0
SF,15,2022,0,3,2,0.3,0,0
TB,15,2022,1,5,0,0.8,0,0
TEN,15,2022,1,5,0,0.8,0,0
WAS,15,2022,0,2,2,0.3,1,0
ARI,16,2022,0,3,2,0.3,0,0
ATL,16,2022,1,5,0,0.8,0,0
BAL,16,2022,0,3,2,0.3,0,0
BUF,16,2022,0,4,0,0.3,0,0
CAR,16,2022,0,3,2,0.3,0,0
CHI,16,2022,0,1,3,0.3,0,0
CIN,16,2022,0,4,0,0.3,0,0
CLE,16,2022,0,4,0,0.3,0,0
DAL,16,2022,1,5,0,0.8,0,0
DEN,16,2022,0,2,2,0.3,1,0
DET,16,2022,1,5,0,0.8,0,0
GB,16,2022,0,3,1,0.3,0,0
HOU,16,2022,0,3,2,0.3,0,0
IND,16,2022,1,5,0,0.8,0,0
JAX,16,2022,0,3,1,0.3,0,0
KC,16,2022,1,5,0,0.8,0,0
LA,16,2022,0,3,2,0.3,0,0
LAC,16,2022,1,5,0,0.8,0,0
LV,16,2022,0,1,2,0.3,0,0
MIA,16,2022,1,5,0,0.8,1,0
MIN,16,2022,0,3,2,0.3,1,0
NE,16,2022,0,1,4,0.3,0,0
NO,16,2022,0,1,2,0.3,0,0
NYG,16,2022,0,3,2,0.3,0,0
NYJ,16,2022,1,5,0,0.8,0,0
PHI,16,2022,0,3,2,0.3,0,0
PIT,16,2022,0,3,2,0.3,0,0
SEA,16,2022,0,4,0,0.3,0,0
SF,16,2022,0,3,2,0.3,0,0
TB,16,2022,0,3,0,0.3,0,0
TEN,16,2022,0,0,2,0.3,0,0
WAS,16,2022,0,0,5,0.3,1,0
ARI,17,2022,1,5,0,0.8,0,0
ATL,17,2022,0,1,2,0.3,0,0
BAL,17,2022,1,5,0,0.8,0,0
CAR,17,2022,1,5,0,0.8,0,0
CHI,17,2022,0,1,2,0.3,0,0
CLE,17,2022,1,5,0,0.8,0,0
DAL,17,2022,0,3,2,0.3,0,0
DEN,17,2022,0,3,2,0.3,1,0
DET,17,2022,1,5,0,0.8,0,0
GB,17,2022,0,3,1,0.3,0,0
HOU,17,2022,0,3,1,0.3,0,0
IND,17,2022,1,5,0,0.8,0,0
JAX,17,2022,1,5,0,0.8,0,0
KC,17,2022,1,5,0,0.8,0,0
LA,17,2022,0,2,2,0.3,0,0
LAC,17,2022,1,5,0,0.8,0,0
LV,17,2022,1,5,0,0.8,0,0
MIA,17,2022,0,2,1,0.3,1,0
MIN,17,2022,0,4,0,0.3,1,0
NE,17,2022,0,1,4,0.3,0,0
NO,17,2022,0,2,2,0.3,0,0
NYG,17,2022,0,3,2,0.3,0,0
NYJ,17,2022,0,2,2,0.3,0,0
PHI,17,2022,0,4,0,0.3,0,0
PIT,17,2022,1,5,0,0.8,0,0
SEA,17,2022,0,3,2,0.3,0,0
SF,17,2022,0,3,2,0.3,0,0
TB,17,2022,0,4,0,0.3,0,0
TEN,17,2022,0,3,2,0.3,0,0
WAS,17,2022,0,4,0,0.3,1,0
ARI,18,2022,0,2,3,0.3,0,0
ATL,18,2022,0,1,2,0.3,0,0
BAL,18,2022,0,1,3,0.3,0,0
BUF,18,2022,0,3,1,0.3,0,0
CAR,18,2022,0,1,2,0.3,0,0
CHI,18,2022,0,2,2,0.3,0,0
CIN,18,2022,0,2,3,0.3,0,0
CLE,18,2022,0,3,1,0.3,0,0
DAL,18,2022,0,2,2,0.3,1,0
DEN,18,2022,0,0,4,0.3,1,0
DET,18,2022,0,4,0,0.3,0,0
GB,18,2022,1,5,0,0.8,0,0
HOU,18,2022,1,5,0,0.8,0,0
IND,18,2022,1,5,0,0.8,0,0
JAX,18,2022,1,5,0,0.8,0,0
KC,18,2022,0,2,3,0.3,0,0
LA,18,2022,0,2,3,0.3,0,0
LAC,18,2022,1,5,0,0.8,0,0
LV,18,2022,1,5,0,0.8,0,0
MIA,18,2022,0,3,2,0.3,1,0
MIN,18,2022,0,3,0,0.3,1,0
NE,18,2022,1,5,0,0.8,0,0
NO,18,2022,0,2,2,0.3,0,0
NYG,18,2022,0,1,1,0.3,0,0
NYJ,18,2022,0,1,1,0.3,0,0
PHI,18,2022,1,5,0,0.8,0,0
PIT,18,2022,0,3,2,0.3,0,0
SEA,18,2022,0,3,1,0.3,0,0
SF,18,2022,0,3,0,0.3,0,0
TB,18,2022,0,2,0,0.3,0,0
TEN,18,2022,0,1,3,0.3,0,0
WAS,18,2022,0,0,4,0.3,1,0
BAL,19,2022,0,1,3,0.3,0,0
BUF,19,2022,1,5,0,0.8,0,0
CIN,19,2022,0,4,0,0.3,0,0
DAL,19,2022,0,0,4,0.3,0,0
JAX,19,2022,1,5,0,0.8,0,0
LAC,19,2022,0,2,3,0.3,0,0
MIA,19,2022,0,0,3,0.3,1,0
MIN,19,2022,0,1,2,0.3,0,0
NYG,19,2022,0,1,1,0.3,0,0
SEA,19,2022,0,3,2,0.3,0,0
SF,19,2022,0,2,1,0.3,0,0
TB,19,2022,0,0,1,0.3,0,0
BUF,20,2022,0,4,0,0.3,0,0
CIN,20,2022,0,0,0,0.0,0,0
DAL,20,2022,0,3,2,0.3,0,0
JAX,20,2022,1,5,0,0.8,0,0
KC,20,2022,0,2,3,0.3,0,0
NYG,20,2022,1,5,0,0.8,0,0
PHI,20,2022,0,4,0,0.3,0,0
SF,20,2022,1,5,0,0.8,0,0
CIN,21,2022,0,0,0,0.0,0,0
KC,21,2022,1,5,0,0.8,0,0
PHI,21,2022,1,5,0,0.8,0,0
SF,21,2022,1,5,0,0.8,0,0
KC,22,2022,0,2,3,0.3,0,0
PHI,22,2022,1,5,0,0.8,0,0
ARI,1,2023,0,0,0,0.3,0,0
ATL,1,2023,0,0,0,0.3,0,0
BAL,1,2023,0,0,0,0.3,0,0
BUF,1,2023,0,0,0,0.3,0,0
CAR,1,2023,0,0,0,0.3,0,0
CHI,1,2023,0,0,0,0.3,0,0
CIN,1,2023,0,0,0,0.3,0,0
CLE,1,2023,0,0,0,0.3,0,0
DAL,1,2023,0,0,0,0.3,0,0
DEN,1,2023,0,0,0,0.3,0,0
DET,1,2023,0,0,0,0.3,0,0
GB,1,2023,0,0,0,0.3,0,0
HOU,1,2023,0,0,0,0.3,1,0
IND,1,2023,0,0,0,0.3,0,0
JAX,1,2023,0,0,0,0.3,0,0
KC,1,2023,0,0,0,0.3,0,0
LA,1,2023,0,0,0,0.3,0,0
LAC,1,2023,0,0,0,0.3,0,0
LV,1,2023,0,0,0,0.3,0,0
MIA,1,2023,0,0,0,0.3,0,0
MIN,1,2023,0,0,0,0.3,0,0
NE,1,2023,0,0,0,0.3,0,0
NO,1,2023,0,0,0,0.3,0,0
NYG,1,2023,0,0,0,0.3,0,0
NYJ,1,2023,0,0,0,0.3,0,0
PHI,1,2023,0,0,0,0.3,0,0
PIT,1,2023,0,0,0,0.3,0,0
SEA,1,2023,0,0,0,0.3,0,0
SF,1,2023,0,0,0,0.3,0,0
TB,1,2023,0,0,0,0.3,0,0
TEN,1,2023,0,0,0,0.3,0,0
WAS,1,2023,0,0,0,0.3,0,0
ARI,2,2023,1,5,0,0.8,0,0
ATL,2,2023,0,3,2,0.3,0,0
BAL,2,2023,0,3,0,0.3,0,0
BUF,2,2023,0,3,2,0.3,0,0
CAR,2,2023,0,4,0,0.3,0,0
CHI,2,2023,0,2,2,0.3,0,0
CIN,2,2023,1,5,0,0.8,0,0
CLE,2,2023,1,5,0,0.8,0,0
DAL,2,2023,0,2,3,0.3,0,0
DEN,2,2023,0,1,4,0.3,0,0
